t [s],Step_Index,Cycle_Index,I [A],V [V],cap_charge [Ahr],cap_discharge [Ahr]
7200.015566,1,1,0,3.411755323,0,0
7210.031692,2,1,0.999833703,3.517304659,0.002781756,0
7220.047055,2,1,0.999833703,3.527665377,0.005563489,0
7230.047128,2,1,0.999833703,3.535597801,0.008340929,0
7240.047199,2,1,1.000014305,3.54207325,0.011118371,0
7250.062748,2,1,1.000014305,3.54676795,0.013900105,0
7260.077953,2,1,0.999833703,3.550167561,0.016677454,0
7270.078199,2,1,0.999833703,3.552595854,0.019459209,0
7280.093764,2,1,0.999833703,3.554538488,0.022240922,0
7290.109288,2,1,1.000014305,3.555995464,0.025022662,0
7300.124834,2,1,0.999833703,3.557128668,0.02780438,0
7310.140423,2,1,0.999833703,3.557938099,0.030586122,0
7320.155763,2,1,0.999833703,3.558909416,0.033363451,0
7330.171421,2,1,1.000014305,3.559718847,0.036145188,0
7340.187089,2,1,0.999653101,3.560366392,0.03893128,0
7350.202671,2,1,1.000014305,3.561175823,0.041713014,0
7360.218196,2,1,0.999833703,3.561823368,0.044494711,0
7370.233828,2,1,0.999833703,3.562470913,0.047276439,0
7380.249346,2,1,0.999833703,3.563280344,0.050058144,0
7390.264593,2,1,0.999833703,3.563766003,0.052835547,0
7400.264828,2,1,0.999833703,3.564575434,0.055617207,0
7410.280427,2,1,1.000014305,3.565384865,0.05839892,0
7420.295926,2,1,0.999833703,3.565870523,0.061180649,0
7430.295929,2,1,0.999653101,3.566679955,0.063958068,0
7440.295937,2,1,0.999833703,3.567651272,0.066735472,0
7450.311356,2,1,0.999833703,3.568298817,0.069517115,0
7460.326972,2,1,0.999833703,3.569108248,0.072298815,0
7470.327028,2,1,0.999833703,3.569755793,0.075076205,0
7480.342021,2,1,1.000014305,3.570565224,0.077857732,0
7490.342361,2,1,0.999833703,3.571374655,0.0806352,0
7500.357916,2,1,1.000014305,3.5720222,0.083416915,0
7510.373444,2,1,0.999833703,3.572669744,0.086198608,0
7520.389,2,1,0.999833703,3.573479176,0.088980314,0
7530.404573,2,1,0.999833703,3.574288607,0.091762041,0
7540.420122,2,1,0.999833703,3.574936152,0.094543723,0
7550.435718,2,1,1.000014305,3.575745583,0.097325428,0
7560.450934,2,1,1.000014305,3.576555014,0.100102783,0
7570.451172,2,1,0.999833703,3.577364445,0.102884465,0
7580.466736,2,1,0.999833703,3.577850103,0.105666149,0
7590.481911,2,1,0.999833703,3.578821421,0.108447745,0
7600.482263,2,1,1.000014305,3.579792738,0.111225187,0
7610.497305,2,1,0.999833703,3.580440283,0.114006762,0
7620.497742,2,1,0.999833703,3.581249714,0.116784238,0
7630.512892,2,1,1.000014305,3.582059145,0.119565861,0
7640.513215,2,1,1.000014305,3.582868576,0.122343381,0
7650.513281,2,1,0.999833703,3.583516121,0.12512078,0
7660.528711,2,1,1.000014305,3.584487438,0.127902458,0
7670.528777,2,1,0.999833703,3.585296869,0.130679888,0
7680.544273,2,1,0.999833703,3.586268187,0.133461624,0
7690.544286,2,1,0.999653101,3.587077618,0.136239038,0
7700.559698,2,1,0.999833703,3.587887049,0.139020704,0
7710.575269,2,1,1.000014305,3.588858366,0.141802421,0
7720.590611,2,1,0.999833703,3.589667797,0.144579772,0
7730.606402,2,1,0.999833703,3.590639114,0.14736579,0
7740.621939,2,1,1.000014305,3.591610432,0.150147484,0
7750.637492,2,1,0.999833703,3.592581511,0.152929177,0
7760.653062,2,1,0.999833703,3.593390942,0.155710837,0
7770.668699,2,1,0.999653101,3.594362259,0.158492585,0
7780.684218,2,1,0.999833703,3.595495462,0.161274271,0
7790.699724,2,1,0.999833703,3.59646678,0.164055999,0
7800.715272,2,1,0.999833703,3.597438097,0.166837707,0
7810.730858,2,1,0.999833703,3.598409414,0.169619417,0
7820.746216,2,1,0.999833703,3.599542618,0.172401073,0
7830.746352,2,1,0.999833703,3.600675821,0.175178491,0
7840.761896,2,1,0.999833703,3.601809025,0.177960185,0
7850.777496,2,1,1.000014305,3.602942228,0.180741924,0
7860.793273,2,1,0.999833703,3.603913546,0.183523726,0
7870.808482,2,1,0.999833703,3.605046749,0.186305398,0
7880.808508,2,1,1.000014305,3.606503725,0.189082813,0
7890.82412,2,1,0.999833703,3.607636929,0.191864552,0
7900.839411,2,1,0.999833703,3.608608246,0.194646171,0
7910.855188,2,1,1.000014305,3.609903336,0.197427939,0
7920.870821,2,1,1.000014305,3.611198425,0.200209631,0
7930.886313,2,1,0.999833703,3.612331629,0.202991287,0
7940.901914,2,1,0.999833703,3.613626719,0.20577302,0
7950.917111,2,1,0.999833703,3.615083694,0.208550349,0
7960.933009,2,1,0.999833703,3.616378784,0.211336383,0
7970.94858,2,1,0.999833703,3.617511988,0.214118109,0
7980.963812,2,1,0.999833703,3.618645191,0.216895461,0
7990.963991,2,1,0.999833703,3.619940281,0.219677164,0
8000.979588,2,1,0.999833703,3.621073484,0.222458854,0
8010.995128,2,1,1.000014305,3.622692347,0.225240512,0
8021.010684,2,1,1.000014305,3.62382555,0.228022204,0
8031.026275,2,1,0.999833703,3.624958754,0.230803928,0
8041.041813,2,1,0.999833703,3.62641573,0.233585646,0
8051.057488,2,1,1.000014305,3.627548933,0.236367404,0
8061.072964,2,1,1.000014305,3.628844023,0.239149112,0
8071.088524,2,1,0.999833703,3.630139112,0.241930841,0
8081.104065,2,1,1.000014305,3.631434202,0.24471251,0
8091.11961,2,1,1.000014305,3.632729292,0.247494182,0
8101.135182,2,1,1.000014305,3.634024382,0.250275904,0
8111.15074,2,1,0.999833703,3.635157585,0.253057633,0
8121.165972,2,1,0.999833703,3.636128902,0.255835001,0
8131.181883,2,1,0.999833703,3.637585878,0.258621042,0
8141.197419,2,1,0.999833703,3.638557196,0.261402757,0
8151.212788,2,1,0.999833703,3.639690399,0.264184442,0
8161.212939,2,1,0.999833703,3.640985489,0.266961822,0
8171.228137,2,1,0.999833703,3.642118692,0.269739134,0
8181.228269,2,1,0.999833703,3.643251896,0.27251648,0
8191.243979,2,1,0.999833703,3.644546986,0.27530261,0
8201.259498,2,1,1.000014305,3.645518303,0.278084346,0
8211.275087,2,1,0.999653101,3.646327734,0.280866107,0
8221.290627,2,1,0.999833703,3.64778471,0.283647803,0
8231.306193,2,1,0.999833703,3.648756027,0.286429536,0
8241.321669,2,1,0.999833703,3.649889231,0.28921123,0
8251.321809,2,1,1.000014305,3.651022434,0.291988638,0
8261.337247,2,1,0.999653101,3.652155638,0.29477027,0
8271.352811,2,1,0.999653101,3.653288841,0.29755195,0
8281.368351,2,1,0.999833703,3.654422045,0.300333654,0
8291.383901,2,1,0.999833703,3.655717134,0.303115355,0
8301.399514,2,1,0.999833703,3.656688452,0.305897095,0
8311.415016,2,1,0.999833703,3.657983541,0.308678777,0
8321.430599,2,1,0.999833703,3.659116745,0.311460518,0
8331.446164,2,1,1.000194907,3.660411835,0.314242196,0
8341.461692,2,1,0.999653101,3.661221266,0.31702388,0
8351.477267,2,1,0.999833703,3.662678242,0.319805552,0
8361.492817,2,1,0.999833703,3.663649559,0.322587238,0
8371.508392,2,1,0.999833703,3.664782763,0.325368931,0
8381.523933,2,1,0.999833703,3.666077852,0.32815061,0
8391.539497,2,1,0.999833703,3.667211056,0.330932326,0
8401.555052,2,1,0.999653101,3.668182373,0.333714003,0
8411.570605,2,1,0.999833703,3.66915369,0.336495714,0
8421.586221,2,1,1.000014305,3.670286894,0.339277413,0
8431.601322,2,1,1.000014305,3.671258211,0.342054748,0
8441.601564,2,1,0.999833703,3.672229528,0.344836415,0
8451.601654,2,1,0.999833703,3.673038721,0.347613763,0
8461.616871,2,1,1.000014305,3.674010038,0.350391087,0
8471.617087,2,1,0.999833703,3.674819469,0.353172757,0
8481.632636,2,1,0.999653101,3.675628901,0.355954448,0
8491.648211,2,1,0.999833703,3.676438332,0.35873612,0
8501.663489,2,1,0.999833703,3.677085876,0.361513452,0
8511.663514,2,1,0.999653101,3.677571535,0.364290749,0
8521.663753,2,1,0.999653101,3.678380966,0.367072501,0
8531.679036,2,1,1.000014305,3.679190397,0.369854138,0
8541.694777,2,1,0.999833703,3.679837942,0.372635895,0
8551.710318,2,1,0.999653101,3.680161715,0.375417573,0
8561.725866,2,1,0.999833703,3.680809259,0.378199262,0
8571.741422,2,1,0.999653101,3.681294918,0.380980957,0
8581.756988,2,1,0.999833703,3.681780577,0.38376263,0
8591.757205,2,1,0.999833703,3.682428122,0.386540049,0
8601.772275,2,1,1.000014305,3.683075666,0.389321593,0
8611.772409,2,1,0.999653101,3.683399439,0.392098987,0
8621.787986,2,1,0.999833703,3.683885098,0.394880675,0
8631.80353,2,1,0.999653101,3.68420887,0.39766213,0
8641.819138,2,1,0.999653101,3.684856415,0.40044358,0
8651.834134,2,1,1.000014305,3.685342073,0.40319463,0
8661.834487,2,1,0.999833703,3.685665846,0.406002087,0
8671.83452,2,1,0.999833703,3.686151505,0.40877923,0
8681.850097,2,1,0.999833703,3.686475277,0.411560701,0
8691.865642,2,1,0.999833703,3.686960936,0.414342163,0
8701.881209,2,1,0.999653101,3.687284708,0.417123633,0
8711.896351,2,1,0.999833703,3.68760848,0.419904933,0
8721.896699,2,1,0.999833703,3.687932253,0.42268212,0
8731.911945,2,1,0.999653101,3.688417912,0.42545923,0
8741.927439,2,1,0.999833703,3.68890357,0.428244895,0
8751.9278,2,1,0.999653101,3.689065456,0.431022103,0
8761.943329,2,1,0.999653101,3.689551115,0.433803516,0
8771.958452,2,1,0.999833703,3.689874887,0.436584861,0
8781.958785,2,1,0.999472499,3.69019866,0.439362049,0
8791.974477,2,1,0.999653101,3.690684319,0.442143523,0
8801.98952,2,1,0.999653101,3.691008091,0.444924829,0
8811.989831,2,1,0.999653101,3.69149375,0.447702007,0
8822.005402,2,1,0.999833703,3.691979408,0.450483395,0
8832.005414,2,1,0.999653101,3.692141294,0.453260492,0
8842.020879,2,1,1.000014305,3.692626953,0.456041908,0
8852.036442,2,1,0.999653101,3.692788839,0.458823334,0
8862.036461,2,1,0.999833703,3.693274498,0.461600398,0
8872.051931,2,1,0.999833703,3.69359827,0.464381774,0
8882.0675,2,1,0.999833703,3.693922043,0.46716317,0
8892.083089,2,1,0.999653101,3.694407701,0.469944574,0
8902.098609,2,1,0.999833703,3.694731474,0.472725976,0
8912.114149,2,1,0.999833703,3.695055246,0.475507391,0
8922.129754,2,1,0.999833703,3.695379019,0.47828884,0
8932.145308,2,1,0.999653101,3.695864677,0.48107023,0
8942.160575,2,1,1.000014305,3.696350336,0.483847308,0
8952.160865,2,1,0.999833703,3.696512222,0.486628755,0
8962.176353,2,1,0.999653101,3.696835995,0.489410169,0
8972.191928,2,1,0.999653101,3.697159767,0.492191589,0
8982.207446,2,1,0.999653101,3.697645426,0.494973025,0
8992.223064,2,1,0.999833703,3.697969198,0.497754451,0
9002.238575,2,1,0.999833703,3.698454857,0.50053584,0
9012.254117,2,1,1.000014305,3.698940516,0.503317252,0
9022.26971,2,1,0.999653101,3.699102402,0.50609867,0
9032.28526,2,1,0.999653101,3.699426174,0.508880093,0
9042.300583,2,1,0.999472499,3.69958806,0.511661462,0
9052.31651,2,1,0.999653101,3.700235605,0.514442983,0
9062.316517,2,1,0.999653101,3.700397491,0.517220114,0
9072.331543,2,1,0.999833703,3.701045036,0.519997179,0
9082.331627,2,1,0.999833703,3.701206923,0.522778483,0
9092.34735,2,1,0.999833703,3.701530695,0.525559964,0
9102.362917,2,1,0.999833703,3.702016354,0.528341346,0
9112.378468,2,1,0.999653101,3.702340126,0.531122739,0
9122.394045,2,1,0.999833703,3.702825785,0.533904188,0
9132.409607,2,1,0.999833703,3.702987671,0.536685579,0
9142.425207,2,1,0.999653101,3.70347333,0.539466988,0
9152.440244,2,1,0.999653101,3.703797102,0.542187683,0
9162.440685,2,1,0.999833703,3.704282761,0.545025502,0
9172.456273,2,1,0.999653101,3.704606533,0.547806933,0
9182.471773,2,1,0.999833703,3.704930305,0.550588356,0
9192.48732,2,1,0.999653101,3.705415964,0.553369769,0
9202.502865,2,1,0.999833703,3.705739737,0.556151207,0
9212.51842,2,1,0.999833703,3.706225395,0.558932665,0
9222.533968,2,1,1.000014305,3.706711054,0.561714094,0
9232.549569,2,1,0.999653101,3.70687294,0.564495553,0
9242.565151,2,1,0.999833703,3.707196712,0.567276975,0
9252.580806,2,1,0.999833703,3.707844257,0.570058413,0
9262.596216,2,1,0.999653101,3.708006144,0.572839873,0
9272.611787,2,1,0.999833703,3.708329916,0.575621268,0
9282.627338,2,1,0.999653101,3.708653688,0.578402723,0
9292.642688,2,1,0.999653101,3.709139347,0.581179826,0
9302.642815,2,1,1.000014305,3.709786892,0.583961226,0
9312.658441,2,1,0.999653101,3.709948778,0.586742658,0
9322.674006,2,1,0.999653101,3.710434437,0.589524096,0
9332.689341,2,1,0.999833703,3.710758209,0.592305483,0
9342.689458,2,1,1.000014305,3.711243868,0.595082609,0
9352.705019,2,1,0.999833703,3.71156764,0.597864071,0
9362.720537,2,1,0.999653101,3.711891413,0.600645486,0
9372.720548,2,1,0.999833703,3.712377071,0.603422607,0
9382.735947,2,1,1.000014305,3.71286273,0.606199673,0
9392.751088,2,1,0.999653101,3.713186502,0.608920351,0
9402.751544,2,1,0.999833703,3.713510275,0.611762535,0
9412.766576,2,1,0.999653101,3.713834047,0.614448468,0
9422.766751,2,1,1.000014305,3.714643478,0.617320936,0
9432.766971,2,1,0.999833703,3.714805365,0.620098114,0
9442.782506,2,1,0.999833703,3.715291023,0.622879518,0
9452.797787,2,1,0.999653101,3.715776682,0.625656643,0
9462.797995,2,1,0.999833703,3.716100454,0.628438071,0
9472.813643,2,1,0.999833703,3.716586113,0.631219535,0
9482.828929,2,1,0.999653101,3.716909885,0.634000919,0
9492.829067,2,1,0.999653101,3.717395544,0.636778126,0
9502.844614,2,1,0.999833703,3.717719316,0.639559553,0
9512.860166,2,1,0.999653101,3.718043089,0.642340978,0
9522.875465,2,1,0.999653101,3.718528748,0.645118084,0
9532.8755,2,1,0.999833703,3.719014406,0.647899446,0
9542.891274,2,1,0.999653101,3.719338179,0.650680967,0
9552.906522,2,1,1.000014305,3.719985723,0.653458085,0
9562.906525,2,1,0.999833703,3.720309496,0.656235201,0
9572.922426,2,1,0.999653101,3.720633268,0.659020992,0
9582.937504,2,1,0.999653101,3.721118927,0.661802309,0
9592.937779,2,1,0.999833703,3.721442699,0.664579511,0
9602.953372,2,1,0.999653101,3.722090244,0.667360998,0
9612.968496,2,1,1.000014305,3.722575903,0.670142321,0
9622.968849,2,1,0.999833703,3.723061562,0.672919517,0
9632.98399,2,1,0.999653101,3.723385334,0.675700823,0
9642.984324,2,1,0.999653101,3.723709106,0.678478033,0
9652.999499,2,1,0.999833703,3.724194765,0.681259307,0
9662.999874,2,1,0.999833703,3.72484231,0.684036535,0
9673.014981,2,1,0.999653101,3.725166082,0.686817871,0
9683.015341,2,1,0.999653101,3.725651741,0.689595116,0
9693.030952,2,1,1.000014305,3.7261374,0.692376565,0
9703.04644,2,1,0.999833703,3.726623058,0.695158004,0
9713.061957,2,1,0.999833703,3.726946831,0.697939481,0
9723.07758,2,1,0.999833703,3.727432489,0.700720944,0
9733.093079,2,1,0.999833703,3.728080034,0.703502397,0
9743.108625,2,1,0.999833703,3.728565693,0.706283843,0
9753.12421,2,1,0.999653101,3.728889465,0.709065298,0
9763.13975,2,1,0.999653101,3.729213238,0.711846748,0
9773.155069,2,1,0.999653101,3.729860783,0.714623893,0
9783.170897,2,1,0.999833703,3.730184555,0.71740965,0
9793.186451,2,1,0.999653101,3.730670214,0.72019108,0
9803.202043,2,1,0.999833703,3.731317759,0.722972522,0
9813.217558,2,1,0.999833703,3.731641531,0.725753948,0
9823.232954,2,1,0.999653101,3.731965303,0.728535345,0
9833.233041,2,1,0.999833703,3.732612848,0.731312518,0
9843.248302,2,1,0.999653101,3.733098507,0.734089603,0
9853.248548,2,1,0.999833703,3.733584166,0.736871002,0
9863.264134,2,1,0.999653101,3.734069824,0.739652445,0
9873.279737,2,1,0.999833703,3.734555483,0.742433858,0
9883.295217,2,1,0.999833703,3.735203028,0.745215257,0
9893.310968,2,1,0.999653101,3.7355268,0.747996753,0
9903.326406,2,1,0.999653101,3.736012459,0.750778137,0
9913.341939,2,1,0.999653101,3.736498117,0.753559581,0
9923.357443,2,1,0.999653101,3.736983776,0.756340998,0
9933.373028,2,1,0.999653101,3.737469435,0.759122398,0
9943.38856,2,1,0.999833703,3.73811698,0.761903816,0
9953.404124,2,1,0.999653101,3.738602638,0.764685242,0
9963.419673,2,1,0.999833703,3.739250183,0.767466631,0
9973.435259,2,1,0.999653101,3.739735842,0.770248064,0
9983.450811,2,1,0.999653101,3.740383387,0.773029476,0
9993.466374,2,1,0.999653101,3.740707159,0.775810882,0
10003.48193,2,1,0.999653101,3.741192818,0.778592275,0
10013.49719,2,1,0.999653101,3.741678476,0.781369346,0
10023.49743,2,1,0.999653101,3.742164135,0.784150763,0
10033.51307,2,1,0.999653101,3.742973566,0.786932197,0
10043.52828,2,1,0.999653101,3.743459225,0.789713514,0
10053.52837,2,1,0.999653101,3.74410677,0.792490628,0
10063.52842,2,1,1.000014305,3.744592428,0.795267701,0
10073.54398,2,1,0.999833703,3.745078087,0.798049083,0
10083.55953,2,1,0.999653101,3.745563745,0.800830486,0
10093.57511,2,1,0.999833703,3.74621129,0.803611903,0
10103.59032,2,1,0.999653101,3.746696949,0.806388972,0
10113.59055,2,1,0.999472499,3.747344494,0.809170365,0
10123.60613,2,1,0.999833703,3.747992039,0.81195182,0
10133.62166,2,1,0.999653101,3.748477697,0.814733204,0
10143.63724,2,1,0.999833703,3.749125242,0.81751466,0
10153.65252,2,1,0.999653101,3.749610901,0.820291734,0
10163.65252,2,1,0.999653101,3.75009656,0.823068822,0
10173.66834,2,1,0.999653101,3.750905991,0.825854554,0
10183.68386,2,1,0.999833703,3.751553535,0.828635979,0
10193.69942,2,1,1.000014305,3.75220108,0.831417404,0
10203.71497,2,1,0.999653101,3.752686739,0.834198841,0
10213.73025,2,1,0.999653101,3.753172159,0.836975936,0
10223.73046,2,1,0.999653101,3.753657818,0.839757341,0
10233.73049,2,1,0.999653101,3.754467249,0.842534433,0
10243.74603,2,1,0.999833703,3.755114794,0.845315814,0
10253.76147,2,1,0.999833703,3.755762339,0.848097181,0
10263.77711,2,1,0.999833703,3.756409883,0.850878579,0
10273.79235,2,1,0.999653101,3.756895542,0.853655626,0
10283.79257,2,1,0.999653101,3.757543087,0.856437074,0
10293.80794,2,1,0.999653101,3.758190632,0.859218424,0
10303.80795,2,1,0.999833703,3.759000063,0.861995506,0
10313.82363,2,1,0.999833703,3.759647608,0.864776959,0
10323.83919,2,1,0.999653101,3.760133266,0.867558389,0
10333.85472,2,1,0.999653101,3.760780811,0.870339781,0
10343.8703,2,1,0.999653101,3.761428356,0.87312118,0
10353.88584,2,1,1.000014305,3.762237787,0.875902596,0
10363.90159,2,1,0.999653101,3.762885332,0.878684083,0
10373.91701,2,1,0.999833703,3.763532877,0.881465467,0
10383.93253,2,1,0.999833703,3.764342308,0.88424688,0
10393.94811,2,1,0.999653101,3.765151739,0.887028348,0
10403.96363,2,1,0.999653101,3.765799284,0.889809725,0
10413.97923,2,1,0.999653101,3.766446829,0.892591158,0
10423.99469,2,1,0.999653101,3.767094374,0.895372565,0
10433.9947,2,1,0.999833703,3.767903805,0.898149914,0
10444.01025,2,1,0.999833703,3.768713236,0.900931633,0
10454.02581,2,1,0.999833703,3.769360781,0.903713346,0
10464.04137,2,1,0.999833703,3.770170212,0.906495072,0
10474.05695,2,1,0.999833703,3.77065587,0.909276759,0
10484.07254,2,1,1.000014305,3.771627188,0.912058497,0
10494.08773,2,1,1.000014305,3.772598505,0.914835876,0
10504.08799,2,1,0.999833703,3.77324605,0.917617578,0
10514.10357,2,1,0.999833703,3.774055481,0.920399282,0
10524.1189,2,1,0.999833703,3.774703026,0.923180931,0
10534.13468,2,1,0.999833703,3.775512457,0.925962705,0
10544.14992,2,1,1.000014305,3.776321888,0.928740056,0
10554.16584,2,1,1.000014305,3.777293205,0.931526068,0
10564.18134,2,1,0.999833703,3.778102636,0.934307724,0
10574.19697,2,1,0.999833703,3.778912067,0.937089456,0
10584.21244,2,1,1.000014305,3.779721498,0.939871146,0
10594.22802,2,1,1.000014305,3.780692816,0.942652818,0
10604.24356,2,1,1.000014305,3.781502247,0.945434484,0
10614.25904,2,1,0.999653101,3.782311678,0.948216144,0
10624.27469,2,1,0.999653101,3.783121109,0.950997868,0
10634.29024,2,1,0.999653101,3.784092426,0.953779572,0
10644.30593,2,1,1.000014305,3.785063744,0.956561309,0
10654.32142,2,1,0.999833703,3.786035061,0.959342969,0
10664.33697,2,1,0.999833703,3.786682606,0.962124634,0
10674.35248,2,1,1.000014305,3.787653923,0.964906288,0
10684.36804,2,1,1.000014305,3.788463354,0.967687961,0
10694.3836,2,1,0.999833703,3.789596558,0.970469629,0
10704.39914,2,1,0.999833703,3.790567875,0.973251324,0
10714.41474,2,1,0.999833703,3.79121542,0.97603303,0
10724.43026,2,1,0.999833703,3.792510509,0.978814739,0
10734.44583,2,1,0.999833703,3.793319941,0.981596455,0
10744.46139,2,1,0.999833703,3.794453144,0.9843782,0
10754.47696,2,1,0.999653101,3.795262575,0.987159901,0
10764.49258,2,1,0.999833703,3.796233892,0.989941615,0
10774.50775,2,1,0.999833703,3.79720521,0.992718934,0
10784.5078,2,1,0.999833703,3.798176527,0.995500571,0
10794.50794,2,1,1.000014305,3.799147844,0.998277979,0
10804.52349,2,1,0.999833703,3.800119162,1.001059683,0
10814.53904,2,1,0.999833703,3.800928593,1.003841391,0
10824.55441,2,1,0.999833703,3.80189991,1.006623044,0
10834.55452,2,1,1.000014305,3.803033113,1.009400399,0
10844.5702,2,1,0.999833703,3.803842545,1.012182131,0
10854.58565,2,1,1.000014305,3.804813862,1.014963841,0
10864.60121,2,1,1.000014305,3.805785179,1.017745567,0
10874.61675,2,1,1.000014305,3.806756496,1.020527278,0
10884.63232,2,1,0.999653101,3.807565928,1.023308919,0
10894.64757,2,1,1.000014305,3.808861017,1.026086275,0
