SOC,OCP [V]
0.001152738,4.280276817
0.011527378,4.224048443
0.034005764,4.176470588
0.049567723,4.16349481
0.063400576,4.154844291
0.087608069,4.146193772
0.108357349,4.133217993
0.137752161,4.107266436
0.151585014,4.094290657
0.170605187,4.064013841
0.18443804,4.046712803
0.198270893,4.020761246
0.22074928,3.994809689
0.246685879,3.960207612
0.265706052,3.938581315
0.281268012,3.929930796
0.303746398,3.899653979
0.326224784,3.878027682
0.336599424,3.856401384
0.367723343,3.821799308
0.402305476,3.774221453
0.436887608,3.726643599
0.473198847,3.687716263
0.50778098,3.653114187
0.580403458,3.601211073
0.65129683,3.549307958
0.685878963,3.519031142
0.725648415,3.488754325
0.8,3.432525952
0.834582133,3.402249135
0.884726225,3.346020761
0.914121037,3.324394464
0.945244957,3.272491349
0.965994236,3.198961938
0.978097983,3.099480969
0.986743516,2.982698962
0.991930836,2.878892734
0.997118156,2.766435986
0.998847262,2.705882353
