,MCMB,Petroleum_coke,Hard_carbon,LTO,LFP,LCO,LMO,NCA,NMC
K,1.000052,1.02E-05,0.9896854,0.1291628,0.03932999,-0.000236902,-0.9996536,0.000104664,-0.635961
U0,-0.4894122,17.37471,0.5839445,1.596152,3.407141,-22.76828,4.004463,-4.419803,3.755472
A1,1115.732,3257341,643.3323,-2730.278,-2244.923,5166082,28.88073,1545979,-1306.411
A2,-114405.2,3324795,92777.34,5232.911,-2090.675,-5191279,-19289.65,-1598187,-57995.21
A3,-98955.51,3293786,120803.9,-8075.451,-6045.274,5232986,27516.93,1595170,128590.6
A4,-84726.47,3305070,39097.09,-4993.786,-6046.354,-5257083,25997.59,-1605545,-141860.5
A5,-267608.3,3341687,70427.33,36438.75,-13952.1,5010583,47959.29,1521194,128196.9
A6,-476169.2,3286297,452782.1,110508.7,49285.95,-4520614,-277348.8,-1645695,-328128.3
A7,603250.8,2786389,925998.1,-361370.2,57688.95,7306952,-321162.5,1809373,817.6398
A8,1867866,2943793,111.1642,-502525.3,-270619.6,-14634260,998439.1,-1578053,1373879
A9,-1698309,6028857,-1853447,1401392,-262397.3,6705611,1227530,2032672,651141.4
A10,-5707850,8242393,-323266.3,1148841,695491.2,33894160,-2722189,-2281842,-7315831
A11,873999.3,1365959,3899277,-2857197,480539,-63528110,-1973511,-1678912,4983891
A12,7780654,-10369090,2862780,-1211581,-881803.7,30487930,4613775,2858489,6925178
A13,1486486,-13287330,-2837527,2819998,-450067.5,21440020,818839.4,5443521,-6123714
A14,-4703010,-6890890,-4199996,479102.9,425577.8,-27731990,-4157314,-9459781,-3595215
A15,-2275145,-1366119,-1406372,-1091785,127814.6,8206452,1709075,3600413,3340694
