t [s],tt [s],Step_Index,Cycle_Index,I [A],V [V],cap_charge [Ahr],cap_discharge [Ahr]
60.00121035,60.00121091,1,1,0,3.263306141,0,0
70.01036703,10.00871208,2,1,0.999833703,3.385529757,0.002779916,0
80.0170843,20.01542933,2,1,1.000014305,3.402204037,0.005559271,0
90.02868993,30.02703495,2,1,0.999833703,3.415964365,0.008340027,0
100.0364248,40.03476978,2,1,1.000194907,3.428267717,0.011119696,0
110.0421283,50.04047326,2,1,0.999833703,3.439275742,0.013898786,0
120.0430394,60.04138442,2,1,0.999833703,3.449636459,0.0166765,0
130.0497283,70.04807329,2,1,0.999833703,3.459511518,0.019455793,0
140.0574608,80.05580585,2,1,0.999833703,3.468739033,0.022235404,0
150.0593402,90.05768519,2,1,1.000014305,3.477480888,0.025013422,0
160.0680048,100.0663498,2,1,0.999833703,3.486060858,0.027793289,0
170.0727815,110.0711265,2,1,0.999833703,3.493993282,0.030572075,0
180.073625,120.07197,2,1,1.000014305,3.501763821,0.033349786,0
190.0833012,130.0816463,2,1,1.000014305,3.5090487,0.036129922,0
200.0899928,140.0883378,2,1,0.999833703,3.516171455,0.038909266,0
210.0899974,150.0883425,2,1,0.999833703,3.522970676,0.041686717,0
220.0976594,160.0960045,2,1,1.000014305,3.529284239,0.044466329,0
230.1063446,170.1046897,2,1,0.999833703,3.535435915,0.047246211,0
240.1063706,180.1047157,2,1,0.999833703,3.541101933,0.050023645,0
250.1139338,190.1122789,2,1,0.999833703,3.546282291,0.052803191,0
260.1196768,200.1180218,2,1,0.999653101,3.550653219,0.055582225,0
270.1312852,210.1296302,2,1,1.000014305,3.554214716,0.058362908,0
280.1370374,220.1353825,2,1,0.999833703,3.556804895,0.06114201,0
290.1418219,230.140167,2,1,0.999833703,3.558585644,0.063920783,0
300.1426104,240.1409554,2,1,0.999833703,3.56004262,0.066698461,0
310.1483636,250.1467087,2,1,0.999653101,3.561013937,0.069477538,0
320.1551495,260.1534945,2,1,0.999833703,3.561661482,0.072256907,0
330.1677056,270.1660507,2,1,1.000014305,3.562632799,0.07503786,0
340.1744661,280.1728111,2,1,1.000014305,3.562956572,0.077817213,0
350.1782856,290.1766306,2,1,1.000014305,3.56344223,0.080595755,0
360.1908296,300.1891746,2,1,1.000194907,3.564089775,0.083376732,0
370.1975514,310.1958964,2,1,1.000014305,3.564899206,0.086156074,0
380.2023072,320.2006522,2,1,0.999833703,3.565222979,0.08893484,0
390.213058,330.2114031,2,1,0.999833703,3.565870523,0.091715282,0
400.2187082,340.2170532,2,1,1.000014305,3.566356182,0.094494313,0
410.22349,350.2218352,2,1,0.999833703,3.567003727,0.097273091,0
420.2331138,360.2314588,2,1,0.999833703,3.567651272,0.100053234,0
430.2408351,370.2391802,2,1,0.999833703,3.56813693,0.102832842,0
440.2456452,380.2439902,2,1,0.999833703,3.568622589,0.105611584,0
450.2581862,390.2565312,2,1,1.000014305,3.569593906,0.108392469,0
460.263965,400.26231,2,1,0.999653101,3.570079565,0.111171489,0
470.2706677,410.2690128,2,1,0.999833703,3.570888996,0.113950818,0
480.2803187,420.2786638,2,1,0.999653101,3.571212769,0.116730959,0
490.2870446,430.2853896,2,1,0.999833703,3.5720222,0.119510251,0
500.2957431,440.2940881,2,1,1.000014305,3.572831631,0.122290117,0
510.2980262,450.2963709,2,1,0.999833703,3.573479176,0.125068205,0
520.3003934,460.2987384,2,1,1.000014305,3.574288607,0.127846307,0
530.3071483,470.3054934,2,1,1.000014305,3.574774265,0.130625608,0
540.3094207,480.3077654,2,1,0.999833703,3.57542181,0.133403655,0
550.3117811,490.3101261,2,1,1.000014305,3.576231241,0.13618177,0
560.3167441,500.3150893,2,1,0.999833703,3.576878786,0.138960623,0
570.3234861,510.3218312,2,1,0.999653101,3.577364445,0.141739962,0
580.3241692,520.3225142,2,1,0.999833703,3.578173876,0.144517614,0
590.3308848,530.3292299,2,1,0.999833703,3.578821421,0.14729693,0
600.3396103,540.3379554,2,1,1.000014305,3.579630852,0.150076779,0
610.3521863,550.3505313,2,1,1.000014305,3.580440283,0.152857706,0
620.3569806,560.3553256,2,1,1.000194907,3.581249714,0.155636468,0
630.3627035,570.3610485,2,1,1.000014305,3.581897259,0.158415512,0
640.3743351,580.3726801,2,1,1.000014305,3.58270669,0.161196206,0
650.3800826,590.3784276,2,1,0.999833703,3.583192348,0.16397524,0
660.387803,600.386148,2,1,0.999833703,3.58400178,0.166754859,0
670.3973954,610.3957404,2,1,1.000014305,3.584973097,0.169534994,0
680.404141,620.402486,2,1,1.000014305,3.585458755,0.172314359,0
690.4089293,630.4072743,2,1,1.000014305,3.586430073,0.175093137,0
700.4195652,640.4179103,2,1,1.000014305,3.587077618,0.177873534,0
710.4243097,650.4226547,2,1,0.999833703,3.587887049,0.180652313,0
720.4310771,660.4294221,2,1,0.999833703,3.58869648,0.183431653,0
730.4398073,670.4381524,2,1,1.000014305,3.589505911,0.18621149,0
740.4435574,680.4419024,2,1,1.000014305,3.590315342,0.188989933,0
750.4482957,690.4466407,2,1,0.999833703,3.591124773,0.191768714,0
760.4589611,700.4573061,2,1,0.999833703,3.591934204,0.194549094,0
770.4666683,710.4650133,2,1,1.000014305,3.592905283,0.197328712,0
780.4792619,720.4776069,2,1,1.000014305,3.5938766,0.200109682,0
790.4908362,730.4891813,2,1,0.999653101,3.594686031,0.202890332,0
800.4956476,740.4939926,2,1,1.000194907,3.595657349,0.205669145,0
810.4993943,750.4977393,2,1,0.999833703,3.596628666,0.208447674,0
820.5100787,760.5084237,2,1,0.999833703,3.597599983,0.211228108,0
830.5148316,770.5131766,2,1,0.999833703,3.598571301,0.214006864,0
840.5244914,780.5228364,2,1,0.999833703,3.599542618,0.216787012,0
850.5370721,790.5354172,2,1,0.999833703,3.600513935,0.219567928,0
860.5438502,800.5421952,2,1,0.999833703,3.601647139,0.222347257,0
870.5505069,810.5488519,2,1,1.000014305,3.602780342,0.225126613,0
880.5631509,820.5614959,2,1,0.999833703,3.604075432,0.227907596,0
890.56786,830.566205,2,1,0.999833703,3.604884863,0.230686384,0
900.5775438,840.5758888,2,1,0.999653101,3.606018066,0.233466574,0
910.5891378,850.5874828,2,1,1.000014305,3.607313156,0.236247279,0
