t [s],V [V],I [A],Step_Index
0,3.938207626,0,1
10.00030686,4.020122051,0.999833703,2
20.00053844,4.025464058,0.999833703,2
30.01610372,4.029349327,1.000014305,2
40.03159193,4.032263279,0.999833703,2
50.04680213,4.034691334,0.999833703,2
60.06283833,4.036796093,0.999833703,2
70.07823573,4.038900375,1.000014305,2
80.07834313,4.040681362,0.999833703,2
90.09343333,4.042461872,1.000014305,2
100.0937679,4.044242859,0.999833703,2
110.1093001,4.046185493,1.000014305,2
120.1248411,4.047804356,0.999833703,2
130.1404113,4.04974699,1.000014305,2
140.1558748,4.051203728,0.999653101,2
150.1559004,4.053146362,1.000014305,2
160.171591,4.054765224,1.000014305,2
170.1866659,4.056546211,0.999833703,2
180.1872383,4.058002949,0.999833703,2
190.2019915,4.059460163,0.999653101,2
200.2020312,4.061402798,1.000014305,2
210.2179268,4.06302166,0.999833703,2
220.2335536,4.064640522,0.999833703,2
230.2490956,4.066421032,0.999833703,2
240.2646511,4.068039894,0.999653101,2
250.2802105,4.069820881,1.000014305,2
260.2803174,4.071277618,0.999833703,2
270.2956959,4.073058605,1.000014305,2
280.3112262,4.074677467,0.999833703,2
290.3267871,4.076296329,0.999833703,2
300.3423253,4.078076839,0.999833703,2
310.3578934,4.079534054,0.999653101,2
320.3734505,4.081152916,0.999653101,2
330.3890273,4.082933426,1.000014305,2
340.4045672,4.084552288,0.999833703,2
350.42002,4.086333275,0.999833703,2
360.4200498,4.087952137,0.999833703,2
370.4349769,4.089408875,0.999833703,2
380.4355158,4.091351509,1.000014305,2
390.4506984,4.092970371,0.999833703,2
400.4510097,4.094589233,1.000014305,2
410.4666319,4.096208096,1.000014305,2
420.4821291,4.097826958,0.999833703,2
430.4976726,4.09944582,0.999833703,2
440.513238,4.101064682,0.999833703,2
450.5288211,4.102521896,0.999653101,2
460.5439853,4.104464531,0.999833703,2
470.5445007,4.106083393,0.999833703,2
480.5599443,4.107702255,0.999833703,2
490.5600571,4.109482765,0.999833703,2
500.5751564,4.11093998,0.999833703,2
510.590941,4.112558842,0.999833703,2
520.6064136,4.114339352,1.000194907,2
530.6220071,4.115958214,1.000014305,2
540.6375063,4.117577076,0.999653101,2
550.6530918,4.119195938,0.999833703,2
560.6530938,4.120976448,0.999833703,2
570.6685862,4.12259531,1.000014305,2
580.6685909,4.124214172,0.999833703,2
590.6841745,4.125833035,1.000014305,2
600.6992026,4.127614021,0.999833703,2
610.6996027,4.129232883,0.999833703,2
620.7147486,4.130851746,0.999833703,2
630.7148898,4.132632256,0.999833703,2
640.7149807,4.134251118,0.999833703,2
650.7305484,4.135708332,0.999833703,2
660.7457228,4.137650967,0.999833703,2
670.746169,4.139269829,0.999833703,2
680.7615411,4.141050339,1.000014305,2
690.7771198,4.142507553,0.999653101,2
700.7772192,4.144288063,0.999833703,2
710.7926805,4.145906925,0.999833703,2
720.8081606,4.147687912,0.999833703,2
730.8237121,4.149468422,0.999833703,2
740.8392578,4.151087284,0.999833703,2
750.8548474,4.152706146,0.999833703,2
760.8703795,4.154648781,1.000014305,2
770.8859303,4.156267643,0.999833703,2
780.9014744,4.157886505,0.999653101,2
790.9167968,4.159667492,0.999653101,2
800.932594,4.161448002,0.999833703,2
